currency	price	address	location	title	web	area	ambs	price_area_ratio
U$S	78000	Adolfo Dickman 1200	Paternal, Capital Federal	Venta Ph 3 Ambientes En Paternal	https://inmueble.mercadolibre.com.ar/MLA-1337942929-venta-ph-3-ambientes-en-paternal-_JM#position=30&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	49	3	1591
U$S	77500	Camarones 2831	Paternal, Capital Federal	Venta Ph Frente 3 Ambientes Sin Expensas Patio Luminoso	https://inmueble.mercadolibre.com.ar/MLA-1264255010-venta-ph-frente-3-ambientes-sin-expensas-patio-luminoso-_JM#position=23&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	60	3	1291
U$S	77000	Darwin 900	Villa Crespo, Capital Federal	Venta De Ph 3 Amb. Al Frente En Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1294368251-venta-de-ph-3-amb-al-frente-en-villa-crespo-_JM#position=15&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	51	3	1509
U$S	75000	14 De Julio Al 1200. Entre Av Alvarez Thomas Y Giribone	Villa Ortúzar, Capital Federal	14 De Julio 1200 V Ortúzar Ph 3amb U$75.000	https://inmueble.mercadolibre.com.ar/MLA-1157690052-14-de-julio-1200-v-ortuzar-ph-3amb-u75000-_JM#position=32&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	45	3	1666
U$S	75000	Fragata Presidente Sarmiento 2159	Paternal, Capital Federal	Oportunidad Ph Paternal Duplica Metros!!!	https://inmueble.mercadolibre.com.ar/MLA-1268368329-oportunidad-ph-paternal-duplica-metros-_JM#position=7&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	75	4	1000
U$S	72000	Alejandro Magariños Cervantes 1400	Paternal, Capital Federal	Venta Ph 3 Ambientes, Patio, A Reciclar, Paternal	https://inmueble.mercadolibre.com.ar/MLA-1300921203-venta-ph-3-ambientes-patio-a-reciclar-paternal-_JM#position=8&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	64	3	1125
U$S	72000	Raulies   2000	Paternal, Capital Federal	4/5 Amb A Refaccionar -  Le Brique Propiedades	https://inmueble.mercadolibre.com.ar/MLA-1382814922-45-amb-a-refaccionar-le-brique-propiedades-_JM#position=2&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	85	5	847
U$S	71000	Avenida Elcano 4900	Paternal, Capital Federal	Venta Ph 3 Ambientes Paternal	https://inmueble.mercadolibre.com.ar/MLA-1151645408-venta-ph-3-ambientes-paternal-_JM#position=1&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	64	3	1109
U$S	70000	Charlone Al 1200	Colegiales, Capital Federal	Ph - Villa Ortuzar	https://inmueble.mercadolibre.com.ar/MLA-1294714133-ph-villa-ortuzar-_JM#position=14&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	49	3	1428
U$S	56000	Camarones 1669. Entre Av Donato Alvarez Y Trelles	Paternal, Capital Federal	Ph En Venta En Paternal	https://inmueble.mercadolibre.com.ar/MLA-1315115296-ph-en-venta-en-paternal-_JM#position=6&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	41	3	1365
